Time_Period,All_retailing_including_automotive_fuel,Month_as_a_%_of_Total,All_Retailing_excluding_automotive_fuel,Month_as_a_%_of_Total_excluding_automotive_fuel,Predominantly_food_stores,Total_non-food_stores,Non-specialised_stores,"Textile,_clothing_and_footwear_stores",Household_goods_stores,Other_stores,Non-store_retailing,Automotive_fuel,Total_Annual_Sales_for_All_Retailing_including_automotive_fuel,Total_Annual_Sales_for_All_Retailing_excluding_automotive_fuel
1991JUN,,,14191245.00,9.12,5799139.00,7343115.00,1190784.00,1922880.00,1784620.00,2444831.00,1048991.00,,,
1991JUL,,,11809528.00,7.59,4718319.00,6246633.00,1037212.00,1673153.00,1501852.00,2034416.00,844576.00,,,
1991AUG,,,11358798.00,7.30,4631291.00,5909042.00,959390.00,1559345.00,1464039.00,1926268.00,818465.00,,,
1991SEP,,,14150948.00,9.09,5688869.00,7360152.00,1201683.00,1939734.00,1854180.00,2364555.00,1101927.00,,,
1991OCT,,,11711833.00,7.53,4560027.00,6208850.00,1018646.00,1631076.00,1561539.00,1997589.00,942956.00,,,
1991NOV,,,12717082.00,8.17,4711842.00,6978769.00,1255458.00,1835266.00,1713813.00,2174232.00,1026471.00,,TOTAL SALES IN 1991 £000s,
1991DEC,,,19196862.00,12.34,6639141.00,11305300.00,2139203.00,3171969.00,2550859.00,3443269.00,1252421.00,,,"15,55,96,155"
1992JAN,,,11240859.00,7.14,4542456.00,5814573.00,978652.00,1355617.00,1588260.00,1892044.00,883830.00,,,
1992FEB,,,11137865.00,7.08,4673698.00,5545608.00,882212.00,1262639.00,1502165.00,1898592.00,918559.00,,,
1992MAR,,,14023792.00,8.91,5926689.00,7077181.00,1141990.00,1674045.00,1815460.00,2445686.00,1019922.00,,,
1992APR,,,11783725.00,7.49,4936736.00,6039064.00,1006511.00,1478963.00,1510713.00,2042877.00,807925.00,,,
1992MAY,,,11683859.00,7.43,4862492.00,6023231.00,939022.00,1561382.00,1419428.00,2103399.00,798136.00,,,
1992JUN,,,14636809.00,9.30,6112627.00,7510668.00,1229803.00,1867881.00,1763764.00,2649220.00,1013514.00,,,
1992JUL,,,11760353.00,7.47,4828744.00,6136272.00,1049548.00,1571837.00,1473768.00,2041119.00,795337.00,,,
1992AUG,,,11711597.00,7.44,4786406.00,6123661.00,998109.00,1584689.00,1503207.00,2037656.00,801530.00,,,
1992SEP,,,14537532.00,9.24,5892252.00,7521646.00,1249792.00,2002159.00,1866679.00,2403016.00,1123634.00,,,
1992OCT,,,12151288.00,7.72,4850780.00,6338642.00,1063223.00,1696164.00,1568556.00,2010699.00,961866.00,,,
1992NOV,,,13101194.00,8.33,4999222.00,7047676.00,1279443.00,1847944.00,1698736.00,2221553.00,1054296.00,,TOTAL SALES IN 1992 £000s,
1992DEC,,,19579217.00,12.44,6986831.00,11485101.00,2331415.00,3259322.00,2468585.00,3425779.00,1107285.00,,,"15,73,48,090"
1993JAN,,,11573305.00,7.03,4761009.00,5953031.00,1040297.00,1422403.00,1657047.00,1833284.00,859265.00,,,
1993FEB,,,11586856.00,7.04,4873116.00,5755677.00,940699.00,1318447.00,1569333.00,1927198.00,958063.00,,,
1993MAR,,,14827218.00,9.01,6228297.00,7447931.00,1231324.00,1731213.00,1940171.00,2545223.00,1150990.00,,,
1993APR,,,12219456.00,7.42,5121446.00,6240618.00,1038522.00,1554941.00,1604795.00,2042360.00,857392.00,,,
1993MAY,,,12099943.00,7.35,5104813.00,6147130.00,993045.00,1540377.00,1521000.00,2092708.00,848000.00,,,
1993JUN,,,15253843.00,9.27,6364726.00,7841334.00,1315237.00,1988232.00,1897795.00,2640070.00,1047783.00,,,
1993JUL,,,12363043.00,7.51,5091332.00,6431369.00,1109444.00,1638976.00,1578888.00,2104061.00,840342.00,,,
1993AUG,,,12250653.00,7.44,5071062.00,6331466.00,1051050.00,1611553.00,1603492.00,2065371.00,848125.00,,,
1993SEP,,,15344440.00,9.32,6205933.00,7996584.00,1322649.00,2089520.00,2020230.00,2564185.00,1141923.00,,,
1993OCT,,,12739611.00,7.74,5053340.00,6695034.00,1122900.00,1772581.00,1720645.00,2078908.00,991237.00,,,
1993NOV,,,13751453.00,8.35,5209743.00,7471472.00,1345272.00,1936236.00,1848148.00,2341816.00,1070238.00,,TOTAL SALES IN 1993 £000s,
1993DEC,,,20626587.00,12.53,7297544.00,12139723.00,2496270.00,3488415.00,2569864.00,3585174.00,1189320.00,,,"16,46,36,408"
1994JAN,,,12091662.00,7.05,4905426.00,6334376.00,1076589.00,1508942.00,1803188.00,1945657.00,851860.00,,,
1994FEB,,,11972706.00,6.98,5057645.00,5904470.00,956253.00,1347526.00,1624032.00,1976659.00,1010591.00,,,
1994MAR,,,15537219.00,9.06,6558317.00,7837489.00,1308264.00,1877005.00,2019080.00,2633140.00,1141413.00,,,
1994APR,,,12500998.00,7.29,5184966.00,6401420.00,1044936.00,1621808.00,1650224.00,2084452.00,914612.00,,,
1994MAY,,,12641794.00,7.37,5293924.00,6439496.00,1009921.00,1638428.00,1587584.00,2203563.00,908374.00,,,
1994JUN,,,15841347.00,9.24,6645850.00,8131670.00,1327896.00,2080159.00,1908890.00,2814725.00,1063827.00,,,
1994JUL,,,12856387.00,7.50,5401066.00,6616839.00,1118064.00,1743275.00,1580284.00,2175216.00,838482.00,,,
1994AUG,,,12715306.00,7.41,5309330.00,6521546.00,1061418.00,1668325.00,1617751.00,2174052.00,884430.00,,,
1994SEP,,,15958371.00,9.30,6460719.00,8353100.00,1358420.00,2225775.00,2058566.00,2710339.00,1144552.00,,,
1994OCT,,,13214143.00,7.70,5283932.00,6950458.00,1149152.00,1823398.00,1760612.00,2217296.00,979753.00,,,
1994NOV,,,14245569.00,8.31,5462897.00,7714814.00,1387972.00,1979665.00,1897116.00,2450061.00,1067858.00,,TOTAL SALES IN 1994 £000s,
1994DEC,,,21951539.00,12.80,7770232.00,12931232.00,2652173.00,3747633.00,2710620.00,3820806.00,1250075.00,,,"17,15,27,041"
