Time_Period,All_retailing_including_automotive_fuel,Month_as_a_%_of_Total,All_Retailing_excluding_automotive_fuel,Month_as_a_%_of_Total_excluding_automotive_fuel,Predominantly_food_stores,Total_non-food_stores,Non-specialised_stores,"Textile,_clothing_and_footwear_stores",Household_goods_stores,Other_stores,Non-store_retailing,Automotive_fuel,Total_Annual_Sales_for_All_Retailing_including_automotive_fuel,Total_Annual_Sales_for_All_Retailing_excluding_automotive_fuel
2015SEP,35052036.00,9.35,31616004.00,9.31,14370124.00,14640996.00,2868966.00,4396420.00,3079512.00,4296098.00,2604884.00,3436032.00,,
2015OCT,28900736.00,7.71,26154754.00,7.71,11454101.00,12418702.00,2468353.00,3589169.00,2607996.00,3753184.00,2281951.00,2745982.00,,
2015NOV,32137024.00,8.57,29327470.00,8.64,12098557.00,14218977.00,3254100.00,4076194.00,2783295.00,4105388.00,3009936.00,2809554.00,TOTAL SALES IN 2015 £000s,
2015DEC,44384632.00,11.84,41116327.00,12.11,16774845.00,20916007.00,4959053.00,6274645.00,3433483.00,6248826.00,3425475.00,3268305.00,"37,48,17,465","33,94,45,522"
2016JAN,26591974.00,6.86,24014575.00,6.84,10939594.00,10939273.00,2322511.00,2944328.00,2545320.00,3127114.00,2135708.00,2577399.00,,
2016FEB,26615183.00,6.86,24069291.00,6.86,11312160.00,10660588.00,2173900.00,2761467.00,2437170.00,3288051.00,2096543.00,2545892.00,,
2016MAR,34461394.00,8.89,31155055.00,8.88,14568348.00,13925197.00,2809370.00,3758698.00,2992414.00,4364715.00,2661510.00,3306339.00,,
2016APR,28139122.00,7.26,25347679.00,7.22,11488100.00,11595593.00,2310919.00,3122132.00,2396415.00,3766127.00,2263986.00,2791443.00,,
2016MAY,29092147.00,7.50,26194317.00,7.47,11898542.00,11967674.00,2425825.00,3322793.00,2495793.00,3723263.00,2328101.00,2897830.00,,
2016JUN,35949870.00,9.27,32398255.00,9.23,14722874.00,14803427.00,2965186.00,4261910.00,2920123.00,4656208.00,2871954.00,3551615.00,,
2016JUL,29636640.00,7.64,26663283.00,7.60,11823049.00,12556780.00,2457894.00,3669197.00,2506752.00,3922937.00,2283454.00,2973357.00,,
2016AUG,28661695.00,7.39,25769112.00,7.34,11657481.00,11862438.00,2422883.00,3448205.00,2322343.00,3669007.00,2249193.00,2892583.00,,
2016SEP,36121158.00,9.32,32484251.00,9.26,14520754.00,14838281.00,3059173.00,4222776.00,3004405.00,4551927.00,3125216.00,3636907.00,,
2016OCT,30795547.00,7.94,27772511.00,7.92,11862913.00,13064414.00,2570070.00,3707571.00,2683835.00,4102938.00,2845184.00,3023036.00,,
2016NOV,34094136.00,8.79,31034941.00,8.85,12339753.00,14838650.00,3354167.00,4103502.00,2930367.00,4450614.00,3856538.00,3059195.00,TOTAL SALES IN 2016 £000s,
2016DEC,47537222.00,12.26,43943674.00,12.53,17311941.00,22147133.00,5308098.00,6405913.00,3438582.00,6994540.00,4484600.00,3593548.00,"38,76,96,088","35,08,46,944"
2017JAN,27254314.00,6.72,24445276.00,6.68,10938532.00,10977635.00,2294986.00,3003787.00,2461216.00,3217646.00,2529109.00,2809038.00,,
2017FEB,28066749.00,6.92,25055438.00,6.84,11527048.00,10977658.00,2166535.00,2894345.00,2410641.00,3506137.00,2550732.00,3011311.00,,
2017MAR,35988402.00,8.87,32249881.00,8.81,14720565.00,14233755.00,2863111.00,4041072.00,2976514.00,4353058.00,3295561.00,3738521.00,,
2017APR,30437596.00,7.50,27405880.00,7.49,12226775.00,12452408.00,2390485.00,3460649.00,2703612.00,3897662.00,2726697.00,3031716.00,,
2017MAY,30302021.00,7.47,27101832.00,7.40,12209324.00,12217171.00,2389390.00,3555579.00,2430284.00,3841918.00,2675337.00,3200189.00,,
2017JUN,37872345.00,9.33,34096711.00,9.31,14991434.00,15649215.00,3142236.00,4663234.00,2997997.00,4845748.00,3456062.00,3775634.00,,
2017JUL,30735992.00,7.57,27729684.00,7.57,12130544.00,12902994.00,2525275.00,3836883.00,2544737.00,3996099.00,2696146.00,3006308.00,,
2017AUG,30192736.00,7.44,27184551.00,7.43,11857648.00,12624371.00,2504665.00,3729393.00,2380100.00,4010213.00,2702532.00,3008185.00,,
2017SEP,37817953.00,9.32,33979255.00,9.28,14745769.00,15421288.00,3090692.00,4649212.00,3147791.00,4533593.00,3812198.00,3838698.00,,
2017OCT,31757132.00,7.83,28607181.00,7.81,12123768.00,13242731.00,2592120.00,3754274.00,2759922.00,4136415.00,3240682.00,3149951.00,,
2017NOV,35630770.00,8.78,32384647.00,8.85,12623270.00,15385958.00,3369151.00,4335023.00,2990432.00,4691352.00,4375419.00,3246123.00,TOTAL SALES IN 2017 £000s,
2017DEC,49724917.00,12.25,45845891.00,12.52,18018140.00,22849467.00,5490902.00,6687195.00,3407576.00,7263794.00,4978284.00,3879026.00,"40,57,80,927","36,60,86,227"
2018JAN,28420225.00,6.71,25464552.00,6.69,11195220.00,11500184.00,2413128.00,3097351.00,2558024.00,3431681.00,2769148.00,2955673.00,,
2018FEB,29254182.00,6.90,26069594.00,6.85,11854356.00,11321103.00,2240966.00,2943875.00,2526999.00,3609263.00,2894135.00,3184588.00,,
2018MAR,37751615.00,8.91,33988333.00,8.93,15546598.00,14762513.00,2984937.00,4011252.00,3159252.00,4607072.00,3679222.00,3763282.00,,
2018APR,30640297.00,7.23,27441465.00,7.21,11990376.00,12465946.00,2356329.00,3408057.00,2695075.00,4006485.00,2985143.00,3198832.00,,
2018MAY,32261285.00,7.61,28829564.00,7.57,12806028.00,12864828.00,2516826.00,3657185.00,2662174.00,4028643.00,3158708.00,3431721.00,,
2018JUN,39910499.00,9.42,35627879.00,9.36,15804616.00,15956612.00,3235121.00,4680580.00,3187858.00,4853053.00,3866651.00,4282620.00,,
2018JUL,32641231.00,7.70,29218743.00,7.67,12823391.00,13218624.00,2571551.00,3910317.00,2597708.00,4139048.00,3176728.00,3422488.00,,
2018AUG,31893884.00,7.53,28513168.00,7.49,12409434.00,13008062.00,2542359.00,3690844.00,2645225.00,4129634.00,3095672.00,3380716.00,,
2018SEP,39636714.00,9.35,35379548.00,9.29,15204991.00,16107360.00,3138037.00,4610811.00,3450916.00,4907596.00,4067197.00,4257166.00,,
2018OCT,32961070.00,7.78,29517486.00,7.75,12423307.00,13545303.00,2642997.00,3761279.00,2905512.00,4235515.00,3548876.00,3443584.00,,
2018NOV,37279376.00,8.80,33698264.00,8.85,12923569.00,15948979.00,3383015.00,4393317.00,3239793.00,4932854.00,4825716.00,3581112.00,TOTAL SALES IN 2018 £000s,
2018DEC,51058985.00,12.05,46953766.00,12.33,18307488.00,23179084.00,5484288.00,6870446.00,3607366.00,7216984.00,5467194.00,4105219.00,"42,37,09,363","38,07,02,362"
2019JAN,29565980.00,6.73,26443332.00,6.72,11668532.00,11627170.00,2402247.00,3204145.00,2539838.00,3480940.00,3147630.00,3122648.00,,
2019FEB,30606700.00,6.96,27198464.00,6.91,12200804.00,11671582.00,2241761.00,3033641.00,2504487.00,3891693.00,3326078.00,3408236.00,,
2019MAR,39884476.00,9.07,35525187.00,9.02,15705473.00,15354920.00,2910336.00,4223821.00,3112958.00,5107805.00,4464794.00,4359289.00,,
2019APR,32913598.00,7.49,29359418.00,7.46,12923877.00,12893314.00,2412651.00,3707722.00,2588820.00,4184121.00,3542227.00,3554180.00,,
2019MAY,33077727.00,7.52,29400306.00,7.47,12951328.00,12891287.00,2447461.00,3644174.00,2562615.00,4237037.00,3557691.00,3677421.00,,
2019JUN,41640972.00,9.47,37072581.00,9.42,16089593.00,16558690.00,3144131.00,4840177.00,3197997.00,5376385.00,4424298.00,4568391.00,,
2019JUL,34103557.00,7.76,30432892.00,7.73,13064614.00,13478324.00,2555572.00,3989014.00,2513414.00,4420324.00,3889954.00,3670665.00,,
2019AUG,32962728.00,7.50,29346387.00,7.45,12744134.00,13040967.00,2481189.00,3803341.00,2512447.00,4243990.00,3561286.00,3616341.00,,
2019SEP,40903668.00,9.30,36504277.00,9.27,15740473.00,16151001.00,3044340.00,4724183.00,3337370.00,5045108.00,4612803.00,4399391.00,,
2019OCT,34031166.00,7.74,30430341.00,7.73,12813447.00,13630187.00,2647999.00,3853683.00,2764991.00,4363514.00,3986707.00,3600825.00,,
2019NOV,37144933.00,8.45,33556548.00,8.52,13186632.00,15407495.00,3291745.00,4347121.00,2954435.00,4814194.00,4962421.00,3588385.00,TOTAL SALES IN 2019 £000s,
2019DEC,52764979.00,12.00,48469087.00,12.31,18641477.00,23351817.00,5341772.00,6716508.00,3687351.00,7606186.00,6475793.00,4295892.00,"43,96,00,484","39,37,38,820"
2020JAN,38262410.00,8.76,34289930.00,8.51,15082020.00,14743479.00,2946256.00,4094819.00,3138941.00,4563463.00,4464431.00,3972480.00,,
2020FEB,31158176.00,7.13,27779994.00,6.89,12593746.00,11648774.00,2187409.00,3059723.00,2472711.00,3928931.00,3537474.00,3378182.00,,
2020MAR,37889805.00,8.68,34525600.00,8.57,17568170.00,12211117.00,2925163.00,2687829.00,2791521.00,3806604.00,4746313.00,3364205.00,,
2020APR,25109250.00,5.75,23881514.00,5.93,13612054.00,5903037.00,1807685.00,1133350.00,1249845.00,1712157.00,4366423.00,1227736.00,,
2020MAY,28585352.00,6.55,26844512.00,6.66,14010882.00,7597570.00,2114007.00,1404438.00,1823741.00,2255384.00,5236060.00,1740840.00,,
2020JUN,40335872.00,9.24,37684564.00,9.35,17267845.00,13658674.00,2914209.00,3122587.00,3168761.00,4453117.00,6758045.00,2651308.00,,
2020JUL,34031946.00,7.79,31303991.00,7.77,13361670.00,12767592.00,2393842.00,3038863.00,2821300.00,4513587.00,5174729.00,2727955.00,,
2020AUG,33438699.00,7.66,30591664.00,7.59,13236593.00,12612391.00,2362248.00,3212136.00,2850560.00,4187447.00,4742680.00,2847035.00,,
2020SEP,42097408.00,9.64,38567168.00,9.57,16405467.00,16126723.00,3029790.00,4064527.00,3691621.00,5340785.00,6034978.00,3530240.00,,
2020OCT,35935593.00,8.23,33047191.00,8.20,13314368.00,14038648.00,2680979.00,3347989.00,3271524.00,4738156.00,5694175.00,2888402.00,,
2020NOV,38469206.00,8.81,36016142.00,8.94,14160236.00,14460917.00,3389595.00,2950876.00,3450672.00,4669774.00,7394989.00,2453064.00,TOTAL SALES IN 2020 £000s,
2020DEC,51427795.00,11.78,48386188.00,12.01,18756647.00,21681989.00,4788201.00,5515776.00,3869924.00,7508088.00,7947552.00,3041607.00,,"40,29,18,458"
2021JAN,28934471.00,6.23,26812452.00,6.36,12772962.00,8691798.00,1959190.00,1699961.00,2249914.00,2782733.00,5347692.00,2122019.00,,
2021FEB,29969606.00,6.46,27574679.00,6.54,13438381.00,8989616.00,2118594.00,1500556.00,2535434.00,2835032.00,5146682.00,2394927.00,,
2021MAR,41114928.00,8.86,37642111.00,8.93,17951519.00,13024458.00,2979428.00,2381081.00,3399284.00,4264665.00,6666134.00,3472817.00,,
2021APR,35398436.00,7.63,32226227.00,7.65,13577448.00,13376515.00,2444790.00,3369251.00,3180294.00,4382180.00,5272264.00,3172209.00,,
2021MAY,35903061.00,7.74,32562681.00,7.73,13482052.00,14043430.00,2444758.00,3451625.00,3278209.00,4868838.00,5037199.00,3340380.00,,
2021JUN,45273593.00,9.75,40935584.00,9.72,17391620.00,17400017.00,3051502.00,4435364.00,3804944.00,6108207.00,6143947.00,4338009.00,,
2021JUL,35801930.00,7.71,32180712.00,7.64,13666487.00,13723947.00,2431581.00,3540392.00,2993278.00,4758696.00,4790278.00,3621218.00,,
2021AUG,34916860.00,7.52,31222871.00,7.41,13300735.00,13456301.00,2352734.00,3537992.00,2926265.00,4639310.00,4465835.00,3693989.00,,
2021SEP,43423460.00,9.36,38740094.00,9.19,16331969.00,16605297.00,3056103.00,4485818.00,3490274.00,5573102.00,5802828.00,4683366.00,,
2021OCT,36919217.00,7.95,33348535.00,7.92,13496393.00,14759102.00,2673873.00,3871683.00,3069960.00,5143586.00,5093040.00,3570682.00,,
2021NOV,41771947.00,9.00,37841782.00,8.98,14088086.00,17005610.00,3322095.00,4524405.00,3359460.00,5799650.00,6748086.00,3930165.00,TOTAL SALES IN 2021 £000s,
2021DEC,54736043.00,11.79,50233291.00,11.92,19633530.00,22572128.00,4715573.00,6277314.00,3711074.00,7868167.00,8027633.00,4502752.00,"46,41,63,552","42,13,21,019"
2022JAN,33598304.00,6.79,30147821.00,6.85,12604439.00,12296974.00,2248724.00,2966358.00,2819671.00,4262221.00,5246408.00,3450483.00,,
2022FEB,34351300.00,6.94,30521049.00,6.93,13176739.00,12446837.00,2235801.00,3109130.00,2779810.00,4322096.00,4897473.00,3830251.00,,
2022MAR,44968661.00,9.08,39789373.00,9.04,16940152.00,16956888.00,3033285.00,4279830.00,3636699.00,6007074.00,5892333.00,5179288.00,,
2022APR,37168625.00,7.51,32904572.00,7.47,14007478.00,13952898.00,2480532.00,3755422.00,2983702.00,4733242.00,4944196.00,4264053.00,,
2022MAY,37427898.00,7.56,33016438.00,7.50,13879432.00,14287805.00,2465163.00,4005093.00,2938610.00,4878939.00,4849201.00,4411460.00,,
2022JUN,47118426.00,9.52,41303828.00,9.38,17891033.00,17696976.00,3136716.00,5007984.00,3417380.00,6134896.00,5715819.00,5814598.00,,
2022JUL,38584773.00,7.79,33847718.00,7.69,14647120.00,14444166.00,2605867.00,4115042.00,2748705.00,4974552.00,4756432.00,4737055.00,,
2022AUG,36695104.00,7.41,32278691.00,7.33,14278454.00,13646123.00,2420304.00,3796626.00,2765837.00,4663356.00,4354114.00,4416413.00,,
2022SEP,45257176.00,9.14,40077387.00,9.10,17392604.00,17162765.00,3096961.00,4947487.00,3478288.00,5640029.00,5522018.00,5179789.00,,
2022OCT,39028513.00,7.88,34664779.00,7.87,14405717.00,15255543.00,2698274.00,4337825.00,2946343.00,5273101.00,5003519.00,4363734.00,,
2022NOV,43273692.00,8.74,38998514.00,8.86,15153017.00,17597633.00,3458669.00,5001278.00,3453190.00,5684496.00,6247864.00,4275178.00,TOTAL SALES IN 2022 £000s,
2022DEC,57636879.00,11.64,52826732.00,12.00,21203683.00,24329973.00,5231333.00,7529332.00,3672143.00,7897165.00,7293076.00,4810147.00,"49,51,09,351","44,03,76,902"
2023JAN,34863946.00,,31167408.00,,13651495.00,12730552.00,2380372.00,3571942.00,2786027.00,3992211.00,4785361.00,3696538.00,,
2023FEB,36208797.00,,32434936.00,,14609607.00,13077531.00,2397923.00,3536943.00,2692045.00,4450620.00,4747798.00,3773861.00,,
2023MAR,46635397.00,,41969286.00,,18781120.00,17043241.00,3157246.00,4707433.00,3486477.00,5692085.00,6144925.00,4666111.00,,
2023APR,38659656.00,,34916626.00,,15410165.00,14567943.00,2668297.00,4099772.00,2948340.00,4851534.00,4938518.00,3743030.00,,
2023MAY,39313866.00,,35655107.00,,15653322.00,14937569.00,2714763.00,4302252.00,2948170.00,4972384.00,5064216.00,3658759.00,,
